   ,nama_model,brand,tahun,CC,Transmisi,Jumlah penumpang
",Honda Revo 100,Honda,2007,100,""Manual, 4-speed, semi-otomatis"",2"
",Honda Absolute Revo 110,Honda,2009,110,""Manual, 4-speed, semi-otomatis"",2"
",Honda Revo FI,Honda,2014,110,""Manual, 4-speed, semi-otomatis"",2"
",Honda Astrea Supra X 100,Honda,1998,100,""Manual, 4-speed, semi-otomatis"",2"
",Honda Supra X 125,Honda,2005,125,""Manual, 4-speed, semi-otomatis"",2"
",Honda Supra X 125 Helm In,Honda,2011,125,""Manual, 4-speed, semi-otomatis"",2"
",Honda Supra X 125 FI,Honda,2014,125,""Manual, 4-speed, semi-otomatis"",2"
",Honda Supra GTR,Honda,2016,149.16,""Manual, 6-speed, kopling manual"",2"
",Honda Blade 110R,Honda,2008,109.1,""Manual, 4-speed, semi-otomatis"",2"
",New Honda Blade 110,Honda,2011,109.1,""Manual, 4-speed, semi-otomatis"",2"
",New Honda Blade S / R,Honda,2011,109.1,""Manual, 4-speed, semi-otomatis"",2"
",Honda Blade 125 FI,Honda,2013,124.89,""Manual, 4-speed, semi-otomatis"",2"
",Honda Super Cub,Honda,2018,124.9,""Semi-otomatis, 4-speed"",2"
"Honda Astrea Grand,Honda,1991,97,""Semi-otomatis, 4-speed"",2"
"Honda Astrea Impressa,Honda,1997,97,""Semi-otomatis, 4-speed"",2"
"Honda Astrea Legenda 1,Honda,2001,97,""Semi-otomatis, 4-speed"",2"
"Honda Astrea Legenda 2,Honda,2003,97,""Semi-otomatis, 4-speed"",2"
Honda BeAT Karburator CW,Honda,2008,108,Matic (CVT),2
Honda BeAT Karburator SW,Honda,2008,108,Matic (CVT),2
Honda BeAT PGM-FI SW,Honda,2012,110,Matic (CVT),2
Honda BeAT PGM-FI CW,Honda,2012,110,Matic (CVT),2
,Honda BeAT PGM-FI CBS,Honda,2012,110,Matic (CVT),2
,Honda BeAT eSP CBS,Honda,2014,110,Matic (CVT),2
,Honda BeAT eSP CW,Honda,2014,110,Matic (CVT),2
